Image,Folder
20220119_cot_8T_dry_Bbis6_416.tif,1
20220324_48h_24h_8T_Cot_A4_1305.tif,2
20220119_cot_Col_dry_B3_153.tif,3
20220119_cot_Col_dry_A6_173.tif,3
20220119_cot_hira_dry_B2_356.tif,4
20220323_48h_24h_HIRA_8T_cotB6_97.tif,4
820220324_48h_24h_col_cot_A8_1191.tif,4
220119_cot_hira_dry_C4_119.tif,4
20220119_cot_hira8T_dry_B11_80.tif,5
20220119_cot_8T_dry_A5_335.tif,5
20220119_cot_8T_dry_A6_104.tif,5
20220119_cot_hira8T_dry_B8_253.tif,5
20220119_cot_hira_dry_A2_50.tif,5
Z022_48h_24h_8T_cotB_4_01.tif,5
20220119_cot_Col_dry_C2_126.tif,5
Z022_48h_24h_8T_cotB_1_245.tif,5
